0,1,2
20170818,9,관람객애기가너무 재미잇다고 난리엿네요  
20170818,7,관람객오프닝송 나오니 얘들 엉덩이는 들썩들썩  엔딩송 히라이켄은 정작 얼마 듣지도 못했다는...그래도 도라에몽은 귀여웠어.  
20170818,10,관람객아이랑 재밌게 잘보고왔어요~~^^  
20170818,5,관람객나는 정말 재미없어서 너무 지겨웠어요...  
20170818,10,관람객아이들과 보기 좋아요~  
20170818,7,관람객아들 방학이라 좋아하는 도라에몽을 예매하여봤는데 잼있게 봤던거 같다 중간에좀 이상한감 이 있는듯 했지만..  
20170818,9,관람객재밋게잘봣습니다감사합니다  
20170817,10,관람객상상력만점 도라에몽을 극장에서 보니 더욱 재미있었습니다 오프닝 주제가도 참 좋고요 아이들과 함께보기에 딱알맞은 영화입니다  전 제2롯데월드에서 보았는데 스크린이 크고 좌석 경사가 있어 시야가 방해되지않아서 더욱좋았습니다  
20170817,10,"관람객직원분들 배려도 좋으시고, 아이와 즐겁게 보았습니다~^^  "
20170817,8,관람객시간여행얘기라 지루해할줄알앗는데 재미있었어요 아이들이 재미있어했지만 얘기나누는장면은 다소 지루해했습니다  
20170817,10,관람객갠적으로도라에몽좋아하지는않구요딸방학이라볼만한영화없어서봤는데본후로도라에몽팬되었어요ㅎ넘귀엽고만물도라에몽~없는게없네요ㅎ메세지도있고좋았어요ㅎ강추합니다  
20170817,10,관람객애들이 좋아하니 항상 봅니다~^^  
20170817,8,관람객방학때 애들보여주니 재미있었다함  
20170817,9,관람객아들이 도라이몽 영화를 넘 좋아해서오랜만에 도라이몽 보았습니다.아들이 넘 좋아하네요저도 재미 있게 감상했습니다.  
20170817,8,관람객아이들이너무재미있게잘보았어요^^  
20170817,9,관람객믿고보는 어린이 영화우리 아이가 넘 좋아해서 저도 즐겁게 보고왔어요  
20170817,10,관람객도라에몽의 주머니 아들이 넘 신기해했어요 엄마도 잼밌게봤네요~  
20170817,10,"관람객정말 재미있게 봤습니다, 가족들과 함께 볼수 있는 즐겁고 재미있는 영화입니다~  "
20170817,10,관람객아이들이좋아해요 재밌데요~~  
20170817,10,관람객아이랑 재밌게 잘 봤어요. 내용이 전보다 더 흥미진진해 진거같아 저도 영화에 푹 빠져봤어요ㅎ  
20170817,6,관람객아이들 보기에 좋아요 굴곡없는 영화라 편하게 보기 좋네요 좀 길어요 ㅋㅋ  
20170817,10,관람객재미있어요 도라에몽은 항상 최고  
20170817,10,관람객딸이랑 재미있게 봤어요^^  
20170817,8,관람객도라에몽...제목으로 보는 애니메이션  
20170816,10,관람객잘만든 영화네요. 아이들이 좋아하고 내용도 흥미진진했습니다. 우리나라도 저런영화를 만들면 참 좋을거 같단 아쉬움도 남았습니다  
20170816,5,관람객기냥저냥 그래요 아이는 좋아했어요  
20170816,10,관람객완전 재미있었어요 도라에몽 내사랑  
20170816,5,관람객애들이 보기좋으나 너무 어렵다  
20170816,9,관람객역시 기대를 져버리지 않는 도라에몽!!!  
20170816,10,관람객우리집 꼬마들이 최고였다네요  
20170816,7,관람객어린 동생과 함께 보았는데 참 재미있었습니다  
20170816,8,관람객여덜살 아들과 함께 보았어요재미 있어하지만 전에 보았던 디즈니애니메이션보다지루한 감은 좀 있었어요  
20170816,10,관람객완전 짱 재미 생각 없이 시원하게 웃을 수 있는영화 다시 또 보고 싶음  
20170816,10,정말 재미있습니다. 관객수가 10만을 넘었네요역대 극장판 시리즈 중 최고입니다  
20170816,8,관람객아이들 너무 재미있게 봤네요  
20170816,10,관람객완전 재밌고 감동적이었다는  
20170816,8,관람객8살딸 너무재미있어하네요저도 너무잼있게봤어요~^^♡  
20170816,10,관람객의무적으로 방학이라 보여줬는데..너무 재밌었다고 하네요^^  
20170816,1,스케일봐라 ㅋㅋ 더위피한다고 남극갔데 ㅋㅋ  
20170816,8,관람객아이들이 너무 재밌어하네요^^  
20170815,10,관람객너무 재밌게 봤습니다.잘 만들어진 듯 합니다~  
20170815,9,관람객미취학 아동들이 보기엔 잼나는영화..그러나 더 큰아이들이 보기엔 유치..  
20170815,8,관람객특별히 호평도 혹평도 할 것 없이 볼만 했어요~  
20170815,6,관람객역시 후회없는 선택이었습니다.  
20170815,10,관람객더위를 피해 남극으로 간 도라에몽 친구들은 얼음에 묻혀있던 신기한 팔찌를 발견하게 된다.그곳에서 도라에몽과 친구들은 수수께끼를 찾는 소녀와 박사를 만나게되고 지구가 꽁꽁 얼어버릴 위기에 처했다는걸 알게된다. 도라에몽과 친구들은 힘을 합쳐 지구를구한다  
20170815,10,관람객신나게남극여행하고왔어요진구야즐거웠어  
20170815,7,관람객딸아이가 너무 잼있었다고 얘기하네요 저두 괜찮았던거 같아요  
20170815,10,관람객아이둘과 즐거운시간이였어요 도라에몽은 언제나 올아요~^^  
20170815,10,관람객도라에몽을 좋아하지만 이번 작품은 특히 감동적이고 스릴 넘쳤어요. 방학이 매번 기다려져요  
20170815,10,관람객언제봐두 재미있는  도라에몽^^아들이 넘넘 좋아해요 ㅎ  
20170815,9,관람객아이가재미있어다시보자고하네요^^또한번더보고싶어요~~  
20170815,9,관람객재밌었어요 애들이랑 잘 보고왔어요  
20170815,10,관람객아이들의 호기심을 자극하여 아주 재미있게 잘 만드셨네요.6세 아들이 완전 재밌게 봤어요.  
20170815,10,아아들과 정말 재밌게 잘밨어요 ㅎㅎ  
20170815,6,관람객아이가 너무 좋아합니다  
20170815,9,관람객아이들의 상상이 현실로 모두 이루어지고 얼음으로 만들 수 있는 환상의 세계로 놀러갔다온듯해요^^  
20170815,10,관람객아이들이넘재미있었다고  
20170815,7,관람객애들은 잼게봤는데 어른은 지루함  
20170815,10,관람객가격도 저렴 예매도 아주 편해서 좋았어요아이랑 즐거운 데이트 넘 좋았어요  
20170815,4,관람객별로 재미없어요. 별로입니다.  
20170815,10,나의 22년 인생 최고의 영화라 말하기에 부족함이 없다  
20170815,10,감동.최고.명작..  
20170815,9,관람객시리즈 나올때마다 보고잇어요.역시나 기대를 져버리지않는군요@!!!  
20170814,8,관람객남극스토리라 더운날 보면서 시원했어요^^  
20170814,10,얼음놀이동산이 재밌을것같아요  
20170814,8,관람객아들이랑 재미있게잘보았어요~~^^  
20170814,8,관람객아이들하고 잼나게 봤어요! 생각보다 어려운 내용도 있었는데 하나하나 울 딸이 하나하나 해석해줬어요  
20170814,6,관람객도라에몽 다른 극장편에 비교해서 종 재미가 덜했어요~  
20170814,9,관람객중간중간 지루했대요~  
20170814,8,관람객초등4학년 딸과 보았어요~ 아이는 시간을 자유로 이동하는게 재밌었다고 해요~  
20170814,10,다른 도라에몽 영화들과 달리 더운 여름 날을 시원한 겨울로 바꿔주는 것 같은 영화입니다. 다른 영화들 중 가장 재미있습니다. 앞으로 더 재미있는 영화가 더 나오면 좋겠네요.  
20170814,8,관람객애들보기 좋네요 너무 어린애들말고 초등학생정도  
20170814,7,관람객도라에몽이 일단 너무 귀엽고 시간을 여행하는듯한 영화.20대인 나는 약간 좀 유치할수도있는거같다 쏘쏘하다  
20170814,10,우지원 내일 아침 일찍 일어나서 씻고 밥먹고 다시 한해 볼 필요가 있다. 앞으로도 좋은 트윗 기대할께요 그리고이영히 사용자 디렉토리 오늘 하루도 화이팅 하세요 화이팅 하세요 화이팅 하세요 팅수스럽다고생각하는가운데있지만가장자리로가고싶다고생각하는가운데있다  
20170814,10,도라에몽 극장판 볼때마다 느끼는 거지만 극장판마다 나온애들다 총집합해서 극장판 하나만들면 좋겠다  
20170814,8,광고를 생각하지말고 뇌에서 광고영상을 지우고 보는게 좋음. 그럼 좀 더 재밌게 볼 수있음. 난 광고보고 과하게 기대해서 그런지 좀 그저 그랬음  
20170814,1,별로 였던 거 같아요 .ㅡ  
20170814,10,관람객어제 아들과 같이 봤어요^^지난번 짱구보다도 훨씬 더 잼나더라고요^^아이가 너무 좋아해서 저도 기분이 정말 좋네요^^앞으로도 아이들 애니매이션 많이 런칭해주세요.주기도 빨리요^^  
20170814,10,관람객너무너무 잼있게 봤어여^^아이와 함께 좋은시간이었네요!!  
20170814,10,관람객애들이 너무 즐겁게봤네요  
20170814,8,관람객역시 도라에몽이네요 아이들이 정말 좋아하네요  
20170814,8,관람객중간에 잠이 왔지만 같이본 딸내미는 눈이 똘망똘망...잼있었데요  
20170813,10,관람객초등학생아이들 셋이 봤는데 아이들이 너무 재미있었다고합니다~ 짱구는 못말려 덩덩이 외계인 보다 더 재미있었다고하네요~  
20170813,4,딱 전작만큼의 재미와 감동  
20170813,10,관람객시간가는줄모르고재밌게봤습니다  
20170813,9,아이들과 잼있게 보고 왔어요  
20170813,10,관람객역시 기대를 저버리지 않네요.감동과 재미...  
20170813,10,관람객재미있고 도라에몽 너무 귀여워요 ♡  
20170813,8,관람객딸아이가 너무 재밌어하네요~  
20170813,8,관람객애들이 재미있었다고 하네요  
20170813,7,관람객오랜시리즈의 만화지만 전편만못한듯 너무뻔해서  지루했다  
20170813,10,관람객도라에몽 팬인 아이에게 좋은추억이 생겼습니다  
20170813,10,도라에몽 사랑해여 전 보지 않았지만 오늘 보러갑니다 도라에몽 재미없는건 없습니다 다 재미있습니다너무 기대되네여  
20170813,10,관람객아이들이 정말 좋아하더라고요~!  
20170813,7,관람객재미짐 감동은 없음 볼만함  
